2022
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.000101,0.000101,0.000065,0.000065,0.000101,0.000065
16,0.000119,0.000119,0.000071,0.000071,0.000119,0.000071
17,0.000138,0.000138,0.000076,0.000076,0.000138,0.000076
18,0.000159,0.000159,0.000081,0.000081,0.000159,0.000081
19,0.000181,0.000181,0.000084,0.000084,0.000181,0.000084
20,0.000202,0.000202,0.000085,0.000085,0.000202,0.000085
21,0.00023,0.00023,0.000088,0.000088,0.00023,0.000088
22,0.000258,0.000258,0.000091,0.000091,0.000258,0.000091
23,0.000279,0.000279,0.000096,0.000096,0.000279,0.000096
24,0.000294,0.000294,0.000101,0.000101,0.000294,0.000101
25,0.000288,0.000288,0.000105,0.000105,0.000288,0.000105
26,0.000287,0.000287,0.000111,0.000111,0.000287,0.000111
27,0.000291,0.000291,0.000118,0.000118,0.000291,0.000118
28,0.0003,0.0003,0.000126,0.000126,0.0003,0.000126
29,0.000314,0.000314,0.000135,0.000135,0.000314,0.000135
30,0.000331,0.000331,0.000147,0.000147,0.000331,0.000147
31,0.000353,0.000353,0.00016,0.00016,0.000353,0.00016
32,0.000376,0.000376,0.000175,0.000175,0.000376,0.000175
33,0.000401,0.000401,0.000191,0.000191,0.000401,0.000191
34,0.000423,0.000423,0.000206,0.000206,0.000423,0.000206
35,0.000443,0.000443,0.000222,0.000222,0.000443,0.000222
36,0.00046,0.00046,0.000236,0.000236,0.00046,0.000236
37,0.000477,0.000477,0.000251,0.000251,0.000477,0.000251
38,0.000495,0.000495,0.000268,0.000268,0.000495,0.000268
39,0.000516,0.000516,0.000286,0.000286,0.000516,0.000286
40,0.000539,0.000539,0.000304,0.000304,0.000539,0.000304
41,0.000565,0.000572,0.000324,0.000322,0.000565,0.000324
42,0.000597,0.00065,0.000346,0.000366,0.000597,0.000346
43,0.000637,0.000771,0.000371,0.000434,0.000639,0.000371
44,0.000685,0.000932,0.0004,0.000527,0.000689,0.0004
45,0.000741,0.001133,0.000433,0.000645,0.00075,0.000435
46,0.000808,0.001375,0.000471,0.00079,0.000823,0.000476
47,0.000882,0.00166,0.000514,0.000965,0.000907,0.000525
48,0.000967,0.001991,0.000562,0.001172,0.001004,0.000582
49,0.001062,0.002375,0.000615,0.001416,0.001115,0.000649
50,0.001168,0.002817,0.000677,0.001701,0.001243,0.000728
51,0.001287,0.003017,0.000746,0.001799,0.001373,0.000808
52,0.001423,0.003234,0.000828,0.001924,0.001547,0.00091
53,0.001566,0.00345,0.00092,0.002076,0.001746,0.001029
54,0.001729,0.003683,0.001026,0.002262,0.001981,0.001173
