2010
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.000167,0.000167,0.000114,0.000114,0.000167,0.000114
16,0.000176,0.000176,0.000121,0.000121,0.000176,0.000121
17,0.000186,0.000186,0.000129,0.000129,0.000186,0.000129
18,0.000196,0.000196,0.000132,0.000132,0.000196,0.000132
19,0.000205,0.000205,0.00013,0.00013,0.000205,0.00013
20,0.000214,0.000214,0.000128,0.000128,0.000214,0.000128
21,0.000227,0.000227,0.000125,0.000125,0.000227,0.000125
22,0.000238,0.000238,0.000126,0.000126,0.000238,0.000126
23,0.000256,0.000256,0.000132,0.000132,0.000256,0.000132
24,0.000271,0.000271,0.000138,0.000138,0.000271,0.000138
25,0.000292,0.000292,0.000146,0.000146,0.000292,0.000146
26,0.000325,0.000325,0.000158,0.000158,0.000325,0.000158
27,0.000337,0.000337,0.000165,0.000165,0.000337,0.000165
28,0.000347,0.000347,0.000174,0.000174,0.000347,0.000174
29,0.000363,0.000363,0.000183,0.000183,0.000363,0.000183
30,0.000392,0.000392,0.000205,0.000205,0.000392,0.000205
31,0.00044,0.00044,0.000251,0.000251,0.00044,0.000251
32,0.000496,0.000496,0.000286,0.000286,0.000496,0.000286
33,0.000557,0.000557,0.000314,0.000314,0.000557,0.000314
34,0.000619,0.000619,0.000338,0.000338,0.000619,0.000338
35,0.000682,0.000682,0.00036,0.00036,0.000682,0.00036
36,0.000742,0.000742,0.00038,0.00038,0.000742,0.00038
37,0.000798,0.000798,0.000399,0.000399,0.000798,0.000399
38,0.000829,0.000829,0.00042,0.00042,0.000829,0.00042
39,0.000857,0.000857,0.000444,0.000444,0.000857,0.000444
40,0.000883,0.000883,0.000484,0.000484,0.000883,0.000484
41,0.000911,0.000938,0.00053,0.00053,0.000911,0.00053
42,0.000945,0.001049,0.000584,0.000584,0.000946,0.000584
43,0.000985,0.001215,0.000642,0.000642,0.000988,0.000642
44,0.001033,0.001436,0.000705,0.000705,0.00104,0.000705
45,0.001087,0.001713,0.000751,0.000755,0.001101,0.000751
46,0.001136,0.002045,0.000797,0.000855,0.001161,0.000798
47,0.001188,0.002432,0.000842,0.001004,0.001227,0.000846
48,0.001243,0.002875,0.000911,0.001203,0.001302,0.000921
49,0.0013,0.003373,0.000984,0.001452,0.001384,0.001004
50,0.001358,0.003926,0.001092,0.001751,0.001474,0.001125
51,0.001416,0.00399,0.001212,0.001869,0.001544,0.001251
52,0.001477,0.004003,0.001383,0.002083,0.00165,0.001435
53,0.001582,0.004059,0.001579,0.002358,0.001818,0.001653
54,0.001697,0.004112,0.001805,0.002689,0.002008,0.00191
55,0.001875,0.004262,0.002066,0.00308,0.002368,0.002258
56,0.002099,0.004497,0.002371,0.003543,0.00286,0.002706
57,0.002363,0.004815,0.002655,0.004027,0.00329,0.003122
58,0.002671,0.005241,0.002903,0.004519,0.003802,0.00353
59,0.002949,0.00569,0.003175,0.005079,0.004316,0.004005
60,0.003259,0.00623,0.003468,0.005694,0.004933,0.004571
61,0.003688,0.006962,0.00378,0.006354,0.005763,0.005274
62,0.004056,0.007668,0.004108,0.007061,0.006622,0.006056
63,0.004549,0.008617,0.004446,0.007814,0.007764,0.006979
64,0.00494,0.009535,0.00479,0.008628,0.008779,0.007877
65,0.005323,0.010559,0.005135,0.009517,0.009947,0.008882
66,0.005839,0.011903,0.005476,0.010481,0.011491,0.01004
67,0.006199,0.013177,0.005808,0.011516,0.012835,0.011155
68,0.006375,0.014321,0.006127,0.012646,0.014034,0.012335
69,0.006685,0.01582,0.006431,0.013915,0.015559,0.013636
70,0.0068,0.017175,0.006716,0.015374,0.016905,0.01508
71,0.007663,0.019003,0.007334,0.016772,0.018738,0.016484
