2011
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.000163,0.000163,0.000112,0.000112,0.000163,0.000112
16,0.000172,0.000172,0.000119,0.000119,0.000172,0.000119
17,0.000183,0.000183,0.000128,0.000128,0.000183,0.000128
18,0.000192,0.000192,0.00013,0.00013,0.000192,0.00013
19,0.000201,0.000201,0.000128,0.000128,0.000201,0.000128
20,0.00021,0.00021,0.000126,0.000126,0.00021,0.000126
21,0.000223,0.000223,0.000123,0.000123,0.000223,0.000123
22,0.000234,0.000234,0.000124,0.000124,0.000234,0.000124
23,0.000252,0.000252,0.00013,0.00013,0.000252,0.00013
24,0.000268,0.000268,0.000136,0.000136,0.000268,0.000136
25,0.00029,0.00029,0.000143,0.000143,0.00029,0.000143
26,0.000323,0.000323,0.000156,0.000156,0.000323,0.000156
27,0.000335,0.000335,0.000163,0.000163,0.000335,0.000163
28,0.000345,0.000345,0.000172,0.000172,0.000345,0.000172
29,0.000362,0.000362,0.000181,0.000181,0.000362,0.000181
30,0.00039,0.00039,0.000203,0.000203,0.00039,0.000203
31,0.000438,0.000438,0.000249,0.000249,0.000438,0.000249
32,0.000493,0.000493,0.000284,0.000284,0.000493,0.000284
33,0.000554,0.000554,0.000311,0.000311,0.000554,0.000311
34,0.000616,0.000616,0.000335,0.000335,0.000616,0.000335
35,0.000679,0.000679,0.000356,0.000356,0.000679,0.000356
36,0.000738,0.000738,0.000376,0.000376,0.000738,0.000376
37,0.000794,0.000794,0.000394,0.000394,0.000794,0.000394
38,0.000824,0.000824,0.000414,0.000414,0.000824,0.000414
39,0.000851,0.000851,0.000437,0.000437,0.000851,0.000437
40,0.000876,0.000876,0.000477,0.000477,0.000876,0.000477
41,0.000903,0.00093,0.000522,0.000522,0.000903,0.000522
42,0.000936,0.001038,0.000575,0.000575,0.000937,0.000575
43,0.000974,0.001201,0.000633,0.000633,0.000977,0.000633
44,0.001021,0.001418,0.000695,0.000695,0.001028,0.000695
45,0.001073,0.001689,0.000739,0.000744,0.001087,0.000739
46,0.00112,0.002014,0.000783,0.000842,0.001144,0.000784
47,0.001171,0.002393,0.000827,0.000989,0.00121,0.000831
48,0.001223,0.002826,0.000894,0.001185,0.001281,0.000904
49,0.001277,0.003314,0.000967,0.00143,0.00136,0.000986
50,0.001333,0.003856,0.001073,0.001722,0.001447,0.001106
51,0.001389,0.003914,0.001193,0.001839,0.001515,0.001231
52,0.001448,0.003923,0.001363,0.002054,0.001618,0.001414
53,0.00155,0.003978,0.00156,0.00233,0.001781,0.001633
54,0.001663,0.00403,0.001787,0.002662,0.001968,0.001891
55,0.001839,0.004181,0.00205,0.003056,0.002323,0.002241
56,0.002062,0.004416,0.002357,0.003522,0.002809,0.00269
57,0.002323,0.004733,0.002642,0.004007,0.003234,0.003107
58,0.002628,0.005158,0.002889,0.004496,0.003741,0.003512
59,0.002902,0.005599,0.003159,0.005054,0.004247,0.003985
60,0.003207,0.006131,0.003451,0.005665,0.004854,0.004548
61,0.003633,0.006857,0.003761,0.006322,0.005676,0.005248
62,0.003995,0.007553,0.004087,0.007026,0.006522,0.006026
63,0.004486,0.008496,0.004423,0.007775,0.007655,0.006944
64,0.004871,0.009401,0.004766,0.008584,0.008656,0.007837
65,0.005249,0.010411,0.00511,0.00947,0.009808,0.008839
66,0.005763,0.011748,0.005449,0.010428,0.011342,0.009989
67,0.006118,0.013006,0.005779,0.011458,0.012668,0.011099
68,0.006286,0.014121,0.006096,0.012583,0.013838,0.012274
69,0.006591,0.015599,0.006398,0.013846,0.015341,0.013568
70,0.006698,0.016917,0.006683,0.015298,0.016651,0.015006
71,0.007553,0.018718,0.007297,0.016672,0.018457,0.016386
72,0.009263,0.020783,0.008524,0.018543,0.020543,0.018271
73,0.011828,0.023149,0.010365,0.020242,0.022943,0.020008
74,0.015247,0.025826,0.012819,0.022434,0.025661,0.022239
75,0.019521,0.029354,0.015887,0.024323,0.029226,0.02418
76,0.02465,0.032717,0.019568,0.026798,0.032633,0.0267
77,0.030634,0.037063,0.023863,0.030054,0.037013,0.029991
78,0.037473,0.041943,0.028772,0.03313,0.04192,0.0331
79,0.045167,0.047469,0.034294,0.036576,0.047463,0.036568
80,0.053716,0.053716,0.04043,0.04043,0.053716,0.04043
81,0.061222,0.061222,0.044749,0.044749,0.061222,0.044749
82,0.069651,0.069651,0.049608,0.049608,0.069651,0.049608
83,0.077641,0.077641,0.055082,0.055082,0.077641,0.055082
84,0.087928,0.087928,0.06126,0.06126,0.087928,0.06126
85,0.097602,0.097602,0.069495,0.069495,0.097602,0.069495
86,0.108212,0.108212,0.078924,0.078924,0.108212,0.078924
87,0.122076,0.122076,0.089632,0.089632,0.122076,0.089632
88,0.137598,0.137598,0.099834,0.099834,0.137598,0.099834
89,0.152062,0.152062,0.112881,0.112881,0.152062,0.112881
90,0.170642,0.170642,0.12475,0.12475,0.170642,0.12475
