2017
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.000146,0.000146,0.000101,0.000101,0.000146,0.000101
16,0.000154,0.000154,0.000109,0.000109,0.000154,0.000109
17,0.000163,0.000163,0.000117,0.000117,0.000163,0.000117
18,0.000171,0.000171,0.00012,0.00012,0.000171,0.00012
19,0.000179,0.000179,0.000117,0.000117,0.000179,0.000117
20,0.000187,0.000187,0.000114,0.000114,0.000187,0.000114
21,0.0002,0.0002,0.000111,0.000111,0.0002,0.000111
22,0.000211,0.000211,0.000112,0.000112,0.000211,0.000112
23,0.00023,0.00023,0.000118,0.000118,0.00023,0.000118
24,0.000247,0.000247,0.000124,0.000124,0.000247,0.000124
25,0.000273,0.000273,0.000132,0.000132,0.000273,0.000132
26,0.000312,0.000312,0.000145,0.000145,0.000312,0.000145
27,0.000325,0.000325,0.000152,0.000152,0.000325,0.000152
28,0.000335,0.000335,0.00016,0.00016,0.000335,0.00016
29,0.000351,0.000351,0.000169,0.000169,0.000351,0.000169
30,0.000378,0.000378,0.000191,0.000191,0.000378,0.000191
31,0.000425,0.000425,0.000237,0.000237,0.000425,0.000237
32,0.000479,0.000479,0.000271,0.000271,0.000479,0.000271
33,0.000537,0.000537,0.000295,0.000295,0.000537,0.000295
34,0.000598,0.000598,0.000315,0.000315,0.000598,0.000315
35,0.000658,0.000658,0.000333,0.000333,0.000658,0.000333
36,0.000716,0.000716,0.000349,0.000349,0.000716,0.000349
37,0.00077,0.00077,0.000364,0.000364,0.00077,0.000364
38,0.000795,0.000795,0.000381,0.000381,0.000795,0.000381
39,0.000815,0.000815,0.0004,0.0004,0.000815,0.0004
40,0.000834,0.000834,0.000435,0.000435,0.000834,0.000435
41,0.000855,0.000882,0.000477,0.000477,0.000855,0.000477
42,0.000881,0.000977,0.000525,0.000525,0.000882,0.000525
43,0.000912,0.00112,0.000578,0.000578,0.000915,0.000578
44,0.000949,0.001311,0.000634,0.000634,0.000956,0.000634
45,0.000992,0.00155,0.000671,0.000678,0.001005,0.000671
46,0.001029,0.001836,0.000707,0.000766,0.001051,0.000708
47,0.001069,0.00217,0.000741,0.000897,0.001104,0.000745
48,0.00111,0.002552,0.000802,0.001072,0.001162,0.000811
49,0.001153,0.002981,0.000867,0.001291,0.001227,0.000885
50,0.001196,0.003458,0.000968,0.001553,0.001298,0.000997
51,0.001238,0.003488,0.001083,0.00167,0.00135,0.001117
52,0.001282,0.003475,0.001253,0.001887,0.001432,0.0013
53,0.001373,0.003523,0.001451,0.002167,0.001578,0.001519
54,0.001473,0.00357,0.001683,0.002506,0.001743,0.001781
55,0.001639,0.003726,0.001953,0.002912,0.00207,0.002135
56,0.001849,0.00396,0.002273,0.003397,0.002519,0.002594
57,0.002096,0.00427,0.002564,0.003888,0.002918,0.003015
58,0.002385,0.004682,0.002803,0.004363,0.003396,0.003408
59,0.002634,0.005082,0.003066,0.004904,0.003855,0.003867
60,0.002911,0.005565,0.003348,0.005497,0.004406,0.004413
61,0.003318,0.006263,0.00365,0.006135,0.005185,0.005093
62,0.003649,0.006899,0.003966,0.006817,0.005957,0.005847
