2020
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.000117,0.000117,0.000076,0.000076,0.000117,0.000076
16,0.000137,0.000137,0.000082,0.000082,0.000137,0.000082
17,0.000158,0.000158,0.000088,0.000088,0.000158,0.000088
18,0.000181,0.000181,0.000093,0.000093,0.000181,0.000093
19,0.000205,0.000205,0.000097,0.000097,0.000205,0.000097
20,0.000228,0.000228,0.000098,0.000098,0.000228,0.000098
21,0.000259,0.000259,0.000101,0.000101,0.000259,0.000101
22,0.000289,0.000289,0.000103,0.000103,0.000289,0.000103
23,0.000311,0.000311,0.000107,0.000107,0.000311,0.000107
24,0.000325,0.000325,0.000112,0.000112,0.000325,0.000112
25,0.000315,0.000315,0.000116,0.000116,0.000315,0.000116
26,0.00031,0.00031,0.000121,0.000121,0.00031,0.000121
27,0.000311,0.000311,0.000127,0.000127,0.000311,0.000127
28,0.000318,0.000318,0.000134,0.000134,0.000318,0.000134
29,0.00033,0.00033,0.000143,0.000143,0.00033,0.000143
30,0.000345,0.000345,0.000154,0.000154,0.000345,0.000154
31,0.000364,0.000364,0.000167,0.000167,0.000364,0.000167
32,0.000385,0.000385,0.000182,0.000182,0.000385,0.000182
33,0.000407,0.000407,0.000198,0.000198,0.000407,0.000198
34,0.000426,0.000426,0.000215,0.000215,0.000426,0.000215
35,0.000444,0.000444,0.000231,0.000231,0.000444,0.000231
36,0.000459,0.000459,0.000246,0.000246,0.000459,0.000246
37,0.000475,0.000475,0.000265,0.000265,0.000475,0.000265
38,0.000492,0.000492,0.000284,0.000284,0.000492,0.000284
39,0.000513,0.000513,0.000305,0.000305,0.000513,0.000305
40,0.000538,0.000538,0.000327,0.000327,0.000538,0.000327
41,0.000566,0.000572,0.000351,0.000349,0.000566,0.000351
42,0.0006,0.000653,0.000378,0.0004,0.0006,0.000378
43,0.000644,0.000779,0.00041,0.000479,0.000646,0.00041
44,0.000697,0.000948,0.000445,0.000587,0.000702,0.000445
45,0.00076,0.001162,0.000485,0.000724,0.000769,0.000487
46,0.000834,0.001421,0.000532,0.000892,0.00085,0.000538
47,0.000919,0.001728,0.000585,0.001096,0.000945,0.000598
48,0.001015,0.002089,0.000643,0.00134,0.001054,0.000666
49,0.001123,0.002511,0.000707,0.001627,0.001179,0.000746
50,0.001244,0.003,0.00078,0.00196,0.001324,0.000839
51,0.00138,0.003233,0.000862,0.002077,0.001472,0.000933
52,0.001534,0.003486,0.000955,0.00222,0.001668,0.001049
53,0.001695,0.003733,0.00106,0.002393,0.001889,0.001186
54,0.001876,0.003997,0.001178,0.002595,0.002149,0.001346
55,0.002082,0.004282,0.001307,0.00283,0.002537,0.001596
56,0.002322,0.004598,0.001449,0.003096,0.003044,0.00192
57,0.002605,0.004953,0.001602,0.003398,0.003493,0.002213
58,0.002941,0.005351,0.001764,0.003732,0.004002,0.002527
59,0.003337,0.005798,0.001936,0.0041,0.004564,0.00288
60,0.003799,0.006297,0.002117,0.0045,0.005206,0.003298
61,0.004335,0.006852,0.002309,0.004933,0.00593,0.003832
62,0.004946,0.007463,0.002511,0.005398,0.006734,0.004416
63,0.005631,0.008127,0.00273,0.005897,0.007603,0.005112
64,0.0064,0.008857,0.002967,0.006437,0.008453,0.005758
65,0.007255,0.009653,0.003225,0.007022,0.009373,0.006472
66,0.008103,0.010523,0.003578,0.007672,0.010359,0.007311
67,0.009031,0.011481,0.00397,0.008397,0.011361,0.008117
68,0.010052,0.012541,0.004414,0.009214,0.012451,0.008985
69,0.011189,0.013736,0.004913,0.010133,0.013663,0.009938
70,0.012455,0.015076,0.005479,0.011174,0.015008,0.010981
71,0.013866,0.01658,0.006118,0.012348,0.016516,0.012158
72,0.015449,0.018278,0.006842,0.013674,0.018219,0.013489
73,0.017224,0.020197,0.007667,0.015175,0.020143,0.014997
74,0.019218,0.022366,0.008599,0.016865,0.022317,0.016697
75,0.02146,0.024826,0.009664,0.01879,0.024782,0.018635
76,0.023964,0.027604,0.010871,0.020973,0.027566,0.020836
77,0.026782,0.030769,0.012254,0.023481,0.030738,0.023366
78,0.029919,0.034345,0.013828,0.026356,0.034322,0.026271
79,0.033447,0.038433,0.015621,0.029666,0.03842,0.029618
80,0.037375,0.043067,0.017662,0.033484,0.043067,0.033484
81,0.039222,0.048107,0.019406,0.037669,0.048107,0.037669
82,0.042758,0.053854,0.022765,0.042446,0.053854,0.042446
83,0.048014,0.060386,0.027776,0.047923,0.060386,0.047923
84,0.055042,0.067838,0.034475,0.054174,0.067838,0.054174
85,0.063877,0.076254,0.042895,0.061258,0.076254,0.061258
86,0.074636,0.085831,0.053064,0.069265,0.085831,0.069265
87,0.087303,0.096623,0.065024,0.078287,0.096623,0.078287
88,0.10192,0.108696,0.078818,0.088357,0.108696,0.088357
89,0.11851,0.122153,0.094441,0.099512,0.122153,0.099512
90,0.137096,0.137096,0.111838,0.111838,0.137096,0.111838
91,0.152921,0.152921,0.125228,0.125228,0.152921,0.125228
92,0.169221,0.169221,0.139416,0.139416,0.169221,0.139416
93,0.185598,0.185598,0.154186,0.154186,0.185598,0.154186
94,0.202075,0.202075,0.169467,0.169467,0.202075,0.169467
95,0.218344,0.218344,0.185284,0.185284,0.218344,0.185284
96,0.236813,0.236813,0.20271,0.20271,0.236813,0.20271
97,0.25579,0.25579,0.220973,0.220973,0.25579,0.220973
98,0.275485,0.275485,0.239976,0.239976,0.275485,0.239976
99,0.29573,0.29573,0.259633,0.259633,0.29573,0.259633
100,0.316409,0.316409,0.279942,0.279942,0.316409,0.279942
101,0.337278,0.337278,0.300567,0.300567,0.337278,0.300567
102,0.35795,0.35795,0.321243,0.321243,0.35795,0.321243
103,0.378379,0.378379,0.341842,0.341842,0.378379,0.341842
104,0.398131,0.398131,0.36235,0.36235,0.398131,0.36235
105,0.416748,0.416748,0.38227,0.38227,0.416748,0.38227
106,0.434806,0.434806,0.401814,0.401814,0.434806,0.401814
107,0.451779,0.451779,0.420312,0.420312,0.451779,0.420312
108,0.467748,0.467748,0.437663,0.437663,0.467748,0.437663
109,0.482853,0.482853,0.454199,0.454199,0.482853,0.454199
110,0.496822,0.496822,0.469667,0.469667,0.496822,0.469667
111,0.501965,0.501965,0.483967,0.483967,0.501965,0.483967
112,0.501458,0.501458,0.497408,0.497408,0.501458,0.497408
113,0.501004,0.501004,0.502965,0.502965,0.501004,0.502965
114,0.500451,0.500451,0.501253,0.501253,0.500451,0.501253
115,0.5,0.5,0.5,0.5,0.5,0.5
116,0.5,0.5,0.5,0.5,0.5,0.5
117,0.5,0.5,0.5,0.5,0.5,0.5
118,0.5,0.5,0.5,0.5,0.5,0.5
119,0.5,0.5,0.5,0.5,0.5,0.5
120,1,1,1,1,1,1
