2015
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.000151,0.000151,0.000105,0.000105,0.000151,0.000105
16,0.00016,0.00016,0.000112,0.000112,0.00016,0.000112
17,0.000169,0.000169,0.000121,0.000121,0.000169,0.000121
18,0.000178,0.000178,0.000123,0.000123,0.000178,0.000123
19,0.000186,0.000186,0.000121,0.000121,0.000186,0.000121
20,0.000194,0.000194,0.000118,0.000118,0.000194,0.000118
21,0.000207,0.000207,0.000115,0.000115,0.000207,0.000115
22,0.000219,0.000219,0.000116,0.000116,0.000219,0.000116
23,0.000237,0.000237,0.000121,0.000121,0.000237,0.000121
24,0.000254,0.000254,0.000128,0.000128,0.000254,0.000128
25,0.000278,0.000278,0.000136,0.000136,0.000278,0.000136
26,0.000316,0.000316,0.000149,0.000149,0.000316,0.000149
27,0.000329,0.000329,0.000155,0.000155,0.000329,0.000155
28,0.000338,0.000338,0.000164,0.000164,0.000338,0.000164
29,0.000354,0.000354,0.000173,0.000173,0.000354,0.000173
30,0.000382,0.000382,0.000195,0.000195,0.000382,0.000195
31,0.000429,0.000429,0.000241,0.000241,0.000429,0.000241
32,0.000484,0.000484,0.000275,0.000275,0.000484,0.000275
33,0.000543,0.000543,0.0003,0.0003,0.000543,0.0003
34,0.000604,0.000604,0.000322,0.000322,0.000604,0.000322
35,0.000665,0.000665,0.000341,0.000341,0.000665,0.000341
36,0.000724,0.000724,0.000358,0.000358,0.000724,0.000358
37,0.000778,0.000778,0.000374,0.000374,0.000778,0.000374
38,0.000805,0.000805,0.000392,0.000392,0.000805,0.000392
39,0.000827,0.000827,0.000412,0.000412,0.000827,0.000412
40,0.000848,0.000848,0.000449,0.000449,0.000848,0.000449
41,0.000871,0.000898,0.000492,0.000492,0.000871,0.000492
42,0.000899,0.000998,0.000541,0.000541,0.0009,0.000541
43,0.000932,0.001147,0.000595,0.000595,0.000935,0.000595
44,0.000973,0.001346,0.000654,0.000654,0.00098,0.000654
45,0.001018,0.001595,0.000693,0.000699,0.001031,0.000693
46,0.001059,0.001894,0.000731,0.00079,0.001082,0.000732
47,0.001102,0.002242,0.000769,0.000926,0.001138,0.000773
48,0.001146,0.00264,0.000832,0.001108,0.0012,0.000841
49,0.001193,0.003088,0.000899,0.001335,0.00127,0.000917
50,0.00124,0.003586,0.001002,0.001607,0.001346,0.001032
51,0.001287,0.003625,0.001118,0.001724,0.001403,0.001154
52,0.001335,0.003619,0.001289,0.001941,0.001492,0.001338
53,0.00143,0.003669,0.001486,0.00222,0.001643,0.001556
54,0.001534,0.003717,0.001717,0.002557,0.001815,0.001817
55,0.001704,0.003872,0.001985,0.002959,0.002152,0.00217
56,0.001917,0.004107,0.002301,0.003438,0.002612,0.002626
57,0.002169,0.004419,0.00259,0.003927,0.00302,0.003045
58,0.002464,0.004835,0.002832,0.004407,0.003507,0.003443
59,0.002721,0.005249,0.003097,0.004953,0.003981,0.003906
60,0.003007,0.005748,0.003382,0.005553,0.004551,0.004458
