2023
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.000097,0.000097,0.000063,0.000063,0.000097,0.000063
16,0.000115,0.000115,0.000068,0.000068,0.000115,0.000068
17,0.000133,0.000133,0.000073,0.000073,0.000133,0.000073
18,0.000153,0.000153,0.000078,0.000078,0.000153,0.000078
19,0.000174,0.000174,0.000081,0.000081,0.000174,0.000081
20,0.000194,0.000194,0.000082,0.000082,0.000194,0.000082
21,0.000221,0.000221,0.000085,0.000085,0.000221,0.000085
22,0.000247,0.000247,0.000088,0.000088,0.000247,0.000088
23,0.000268,0.000268,0.000093,0.000093,0.000268,0.000093
24,0.000282,0.000282,0.000097,0.000097,0.000282,0.000097
25,0.000276,0.000276,0.000101,0.000101,0.000276,0.000101
26,0.000276,0.000276,0.000107,0.000107,0.000276,0.000107
27,0.00028,0.00028,0.000114,0.000114,0.00028,0.000114
28,0.000289,0.000289,0.000121,0.000121,0.000289,0.000121
29,0.000303,0.000303,0.00013,0.00013,0.000303,0.00013
30,0.000321,0.000321,0.000143,0.000143,0.000321,0.000143
31,0.000342,0.000342,0.000156,0.000156,0.000342,0.000156
32,0.000366,0.000366,0.000171,0.000171,0.000366,0.000171
33,0.000391,0.000391,0.000186,0.000186,0.000391,0.000186
34,0.000414,0.000414,0.000202,0.000202,0.000414,0.000202
35,0.000436,0.000436,0.000217,0.000217,0.000436,0.000217
36,0.000455,0.000455,0.000231,0.000231,0.000455,0.000231
37,0.000474,0.000474,0.000247,0.000247,0.000474,0.000247
38,0.000494,0.000494,0.000263,0.000263,0.000494,0.000263
39,0.000516,0.000516,0.000281,0.000281,0.000516,0.000281
40,0.000542,0.000542,0.000299,0.000299,0.000542,0.000299
41,0.00057,0.000576,0.000318,0.000316,0.00057,0.000318
42,0.000603,0.000656,0.000339,0.000359,0.000603,0.000339
43,0.000644,0.000779,0.000363,0.000425,0.000646,0.000363
44,0.000693,0.000943,0.000391,0.000516,0.000698,0.000391
45,0.00075,0.001146,0.000423,0.000631,0.000759,0.000425
46,0.000817,0.00139,0.000459,0.000771,0.000833,0.000464
47,0.000891,0.001675,0.0005,0.000939,0.000916,0.000511
48,0.000973,0.002004,0.000546,0.001138,0.00101,0.000566
49,0.001066,0.002383,0.000596,0.001371,0.00112,0.000628
50,0.001169,0.002817,0.000654,0.001642,0.001244,0.000704
51,0.001284,0.003008,0.000719,0.001733,0.00137,0.000778
52,0.001416,0.003218,0.000795,0.001848,0.00154,0.000873
53,0.001556,0.003426,0.000883,0.001994,0.001734,0.000988
54,0.001714,0.003652,0.000985,0.00217,0.001964,0.001126
55,0.001898,0.003903,0.0011,0.00238,0.002312,0.001343
56,0.002115,0.004189,0.001228,0.002624,0.002773,0.001627
57,0.002374,0.004515,0.00137,0.002907,0.003183,0.001893
58,0.002685,0.004885,0.001525,0.003225,0.003653,0.002184
59,0.003051,0.005302,0.00169,0.00358,0.004173,0.002514
60,0.003483,0.005773,0.001865,0.003965,0.004773,0.002905
61,0.00398,0.006292,0.00205,0.004381,0.005445,0.003403
62,0.00455,0.006866,0.002245,0.004825,0.006195,0.003947
63,0.005206,0.007514,0.002456,0.005304,0.00703,0.004598
64,0.005945,0.008227,0.002686,0.005826,0.007852,0.005212
65,0.006759,0.008992,0.002929,0.006378,0.008731,0.005879
66,0.007575,0.009837,0.003262,0.006994,0.009683,0.006665
67,0.00846,0.010755,0.003628,0.007673,0.010643,0.007417
68,0.009432,0.011768,0.004043,0.008438,0.011684,0.008228
69,0.01053,0.012926,0.004516,0.009314,0.012857,0.009135
70,0.01174,0.014211,0.005055,0.010311,0.014147,0.010133
71,0.013105,0.015669,0.00567,0.011443,0.015609,0.011267
72,0.014651,0.017334,0.006377,0.012744,0.017278,0.012571
73,0.016393,0.019222,0.007184,0.014219,0.019171,0.014052
74,0.018381,0.021392,0.00811,0.015905,0.021345,0.015747
75,0.020625,0.02386,0.009171,0.017832,0.023818,0.017685
76,0.023153,0.026669,0.010382,0.020029,0.026632,0.019898
77,0.026011,0.029884,0.011771,0.022555,0.029854,0.022445
78,0.02922,0.033542,0.013355,0.025456,0.03352,0.025374
79,0.0328,0.03769,0.015162,0.028794,0.037677,0.028748
80,0.036804,0.042409,0.017202,0.032611,0.042409,0.032611
81,0.038779,0.047564,0.018997,0.036875,0.047564,0.036875
82,0.042471,0.053493,0.022399,0.041763,0.053493,0.041763
83,0.047875,0.06021,0.027462,0.047381,0.06021,0.047381
84,0.055112,0.067926,0.034254,0.053827,0.067926,0.053827
85,0.064208,0.07665,0.042829,0.061163,0.07665,0.061163
86,0.075247,0.086534,0.053201,0.069445,0.086534,0.069445
87,0.088214,0.097631,0.065455,0.078806,0.097631,0.078806
88,0.103217,0.11008,0.079602,0.089236,0.11008,0.089236
89,0.120285,0.123982,0.095631,0.100765,0.123982,0.100765
90,0.139404,0.139404,0.113553,0.113553,0.139404,0.113553
91,0.155723,0.155723,0.127432,0.127432,0.155723,0.127432
92,0.172495,0.172495,0.142079,0.142079,0.172495,0.142079
93,0.189416,0.189416,0.157436,0.157436,0.189416,0.157436
94,0.206322,0.206322,0.17312,0.17312,0.206322,0.17312
95,0.222904,0.222904,0.189259,0.189259,0.222904,0.189259
96,0.241036,0.241036,0.206635,0.206635,0.241036,0.206635
97,0.259609,0.259609,0.224625,0.224625,0.259609,0.224625
98,0.278783,0.278783,0.24333,0.24333,0.278783,0.24333
99,0.298557,0.298557,0.262575,0.262575,0.298557,0.262575
100,0.318715,0.318715,0.282507,0.282507,0.318715,0.282507
101,0.339088,0.339088,0.302631,0.302631,0.339088,0.302631
102,0.359387,0.359387,0.323025,0.323025,0.359387,0.323025
103,0.379567,0.379567,0.343404,0.343404,0.379567,0.343404
104,0.399139,0.399139,0.363591,0.363591,0.399139,0.363591
105,0.417508,0.417508,0.383361,0.383361,0.417508,0.383361
106,0.435423,0.435423,0.402637,0.402637,0.435423,0.402637
107,0.452373,0.452373,0.420905,0.420905,0.452373,0.420905
108,0.468127,0.468127,0.438323,0.438323,0.468127,0.438323
109,0.483049,0.483049,0.454656,0.454656,0.483049,0.454656
110,0.496973,0.496973,0.469951,0.469951,0.496973,0.469951
111,0.501966,0.501966,0.48421,0.48421,0.501966,0.48421
112,0.501208,0.501208,0.497359,0.497359,0.501208,0.497359
113,0.500603,0.500603,0.502764,0.502764,0.500603,0.502764
114,0.500001,0.500001,0.501052,0.501052,0.500001,0.501052
115,0.4993,0.4993,0.4995,0.4995,0.4993,0.4995
116,0.4996,0.4996,0.49975,0.49975,0.4996,0.49975
117,0.4998,0.4998,0.49985,0.49985,0.4998,0.49985
118,0.49995,0.49995,0.5,0.5,0.49995,0.5
119,0.5,0.5,0.5,0.5,0.5,0.5
120,1,1,1,1,1,1
