2012
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.00016,0.00016,0.00011,0.00011,0.00016,0.00011
16,0.000169,0.000169,0.000118,0.000118,0.000169,0.000118
17,0.000179,0.000179,0.000126,0.000126,0.000179,0.000126
18,0.000188,0.000188,0.000128,0.000128,0.000188,0.000128
19,0.000197,0.000197,0.000126,0.000126,0.000197,0.000126
20,0.000206,0.000206,0.000124,0.000124,0.000206,0.000124
21,0.000219,0.000219,0.000121,0.000121,0.000219,0.000121
22,0.00023,0.00023,0.000122,0.000122,0.00023,0.000122
23,0.000248,0.000248,0.000127,0.000127,0.000248,0.000127
24,0.000264,0.000264,0.000134,0.000134,0.000264,0.000134
25,0.000287,0.000287,0.000141,0.000141,0.000287,0.000141
26,0.000321,0.000321,0.000154,0.000154,0.000321,0.000154
27,0.000334,0.000334,0.000161,0.000161,0.000334,0.000161
28,0.000343,0.000343,0.00017,0.00017,0.000343,0.00017
29,0.00036,0.00036,0.000179,0.000179,0.00036,0.000179
30,0.000388,0.000388,0.000201,0.000201,0.000388,0.000201
31,0.000436,0.000436,0.000247,0.000247,0.000436,0.000247
32,0.000491,0.000491,0.000282,0.000282,0.000491,0.000282
33,0.000551,0.000551,0.000309,0.000309,0.000551,0.000309
34,0.000613,0.000613,0.000332,0.000332,0.000613,0.000332
35,0.000675,0.000675,0.000352,0.000352,0.000675,0.000352
36,0.000735,0.000735,0.000371,0.000371,0.000735,0.000371
37,0.00079,0.00079,0.000389,0.000389,0.00079,0.000389
38,0.000819,0.000819,0.000409,0.000409,0.000819,0.000409
39,0.000845,0.000845,0.000431,0.000431,0.000845,0.000431
40,0.000869,0.000869,0.000469,0.000469,0.000869,0.000469
41,0.000895,0.000922,0.000515,0.000515,0.000895,0.000515
42,0.000926,0.001028,0.000567,0.000567,0.000927,0.000567
43,0.000964,0.001187,0.000623,0.000623,0.000967,0.000623
44,0.001008,0.001399,0.000684,0.000684,0.001015,0.000684
45,0.001059,0.001664,0.000727,0.000732,0.001073,0.000727
46,0.001104,0.001982,0.00077,0.000828,0.001128,0.000771
47,0.001153,0.002353,0.000812,0.000972,0.001191,0.000816
48,0.001203,0.002777,0.000878,0.001164,0.00126,0.000888
49,0.001256,0.003254,0.000949,0.001404,0.001337,0.000968
50,0.001309,0.003786,0.001055,0.001692,0.001421,0.001087
51,0.001363,0.00384,0.001174,0.00181,0.001486,0.001211
52,0.001419,0.003845,0.001344,0.002025,0.001585,0.001395
53,0.001519,0.003898,0.001541,0.002302,0.001746,0.001613
54,0.00163,0.003949,0.001769,0.002635,0.001929,0.001872
55,0.001805,0.004101,0.002034,0.003031,0.002279,0.002223
56,0.002024,0.004337,0.002343,0.003501,0.002758,0.002674
57,0.002284,0.004652,0.002629,0.003987,0.003179,0.003091
58,0.002586,0.005075,0.002874,0.004474,0.003681,0.003494
59,0.002856,0.005509,0.003143,0.005029,0.004179,0.003965
60,0.003156,0.006033,0.003433,0.005637,0.004777,0.004525
61,0.003579,0.006754,0.003743,0.00629,0.005591,0.005222
62,0.003935,0.00744,0.004067,0.006991,0.006425,0.005996
63,0.004423,0.008378,0.004401,0.007736,0.007548,0.006909
64,0.004803,0.00927,0.004742,0.008542,0.008535,0.007798
65,0.005175,0.010266,0.005084,0.009422,0.009671,0.008794
66,0.005688,0.011595,0.005421,0.010376,0.011194,0.009939
67,0.006039,0.012837,0.00575,0.011401,0.012504,0.011043
68,0.006198,0.013923,0.006066,0.01252,0.013644,0.012212
69,0.006499,0.01538,0.006366,0.013776,0.015126,0.0135
70,0.006597,0.016663,0.006649,0.015221,0.016401,0.01493
71,0.007444,0.018437,0.007258,0.016572,0.01818,0.016288
72,0.009138,0.020471,0.008476,0.018432,0.020235,0.018162
73,0.011679,0.022802,0.010303,0.0201,0.0226,0.019868
74,0.015067,0.025438,0.012739,0.022277,0.025276,0.022083
75,0.019302,0.028943,0.015784,0.024128,0.028818,0.023986
76,0.024384,0.032259,0.019438,0.026583,0.032177,0.026486
77,0.030313,0.036581,0.023701,0.029844,0.036532,0.029781
78,0.037089,0.041439,0.028573,0.032898,0.041416,0.032869
79,0.044712,0.046947,0.034054,0.03632,0.046941,0.036312
80,0.053179,0.053179,0.040147,0.040147,0.053179,0.040147
81,0.060671,0.060671,0.044435,0.044435,0.060671,0.044435
