2021
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.000131,0.000131,0.000084,0.000084,0.000131,0.000084
16,0.000153,0.000153,0.000091,0.000091,0.000153,0.000091
17,0.000177,0.000177,0.000097,0.000097,0.000177,0.000097
18,0.000202,0.000202,0.000103,0.000103,0.000202,0.000103
19,0.00023,0.00023,0.000107,0.000107,0.00023,0.000107
20,0.000256,0.000256,0.000108,0.000108,0.000256,0.000108
21,0.00029,0.00029,0.000112,0.000112,0.00029,0.000112
22,0.000324,0.000324,0.000114,0.000114,0.000324,0.000114
23,0.000349,0.000349,0.00012,0.00012,0.000349,0.00012
24,0.000366,0.000366,0.000125,0.000125,0.000366,0.000125
25,0.000356,0.000356,0.000129,0.000129,0.000356,0.000129
26,0.000352,0.000352,0.000135,0.000135,0.000352,0.000135
27,0.000355,0.000355,0.000143,0.000143,0.000355,0.000143
28,0.000364,0.000364,0.000151,0.000151,0.000364,0.000151
29,0.000379,0.000379,0.000161,0.000161,0.000379,0.000161
30,0.000397,0.000397,0.000175,0.000175,0.000397,0.000175
31,0.00042,0.00042,0.000189,0.000189,0.00042,0.000189
32,0.000446,0.000446,0.000206,0.000206,0.000446,0.000206
33,0.000471,0.000471,0.000223,0.000223,0.000471,0.000223
34,0.000494,0.000494,0.000241,0.000241,0.000494,0.000241
35,0.000515,0.000515,0.000258,0.000258,0.000515,0.000258
36,0.000531,0.000531,0.000274,0.000274,0.000531,0.000274
37,0.000548,0.000548,0.000292,0.000292,0.000548,0.000292
38,0.000566,0.000566,0.000311,0.000311,0.000566,0.000311
39,0.000586,0.000586,0.000332,0.000332,0.000586,0.000332
40,0.000611,0.000611,0.000354,0.000354,0.000611,0.000354
41,0.000638,0.000645,0.000377,0.000375,0.000638,0.000377
42,0.000672,0.000731,0.000403,0.000426,0.000673,0.000403
43,0.000716,0.000866,0.000433,0.000506,0.000718,0.000433
44,0.000768,0.001045,0.000467,0.000615,0.000773,0.000467
45,0.00083,0.001269,0.000505,0.000753,0.00084,0.000507
46,0.000903,0.001538,0.000549,0.000922,0.00092,0.000555
47,0.000987,0.001856,0.0006,0.001126,0.001015,0.000613
48,0.001082,0.002226,0.000656,0.001368,0.001123,0.00068
49,0.001188,0.002656,0.000718,0.001652,0.001248,0.000757
50,0.001307,0.00315,0.000789,0.001982,0.00139,0.000849
51,0.00144,0.003375,0.000869,0.002094,0.001536,0.000941
52,0.001591,0.003617,0.000961,0.002234,0.00173,0.001056
53,0.00175,0.003855,0.001065,0.002404,0.001951,0.001192
54,0.001929,0.004108,0.001183,0.002607,0.00221,0.001352
55,0.002133,0.004386,0.001314,0.002845,0.002598,0.001604
56,0.002372,0.004697,0.001458,0.003116,0.00311,0.001932
57,0.002655,0.005048,0.001614,0.003423,0.00356,0.00223
58,0.002991,0.005442,0.001781,0.003766,0.00407,0.002551
59,0.003388,0.005887,0.001956,0.004143,0.004634,0.00291
60,0.00385,0.006382,0.00214,0.00455,0.005276,0.003334
61,0.004384,0.00693,0.002335,0.00499,0.005998,0.003876
62,0.004989,0.007529,0.00254,0.00546,0.006793,0.004467
63,0.005668,0.008181,0.002757,0.005954,0.007654,0.005161
64,0.006426,0.008892,0.002992,0.00649,0.008486,0.005805
65,0.007256,0.009654,0.003245,0.007065,0.009374,0.006512
66,0.008085,0.0105,0.003594,0.007707,0.010336,0.007344
67,0.008991,0.01143,0.00398,0.008416,0.01131,0.008135
68,0.009994,0.012469,0.004418,0.009223,0.01238,0.008994
69,0.011119,0.013649,0.004912,0.010131,0.013577,0.009936
70,0.012363,0.014964,0.005474,0.011166,0.014896,0.010973
71,0.01377,0.016465,0.006114,0.012341,0.016402,0.012151
72,0.015355,0.018167,0.006839,0.013668,0.018109,0.013483
73,0.017135,0.020093,0.007666,0.015174,0.020039,0.014996
74,0.019145,0.022282,0.008604,0.016875,0.022233,0.016707
75,0.021407,0.024765,0.00967,0.018802,0.024721,0.018647
76,0.023953,0.027591,0.01089,0.02101,0.027553,0.020872
77,0.026805,0.030796,0.012287,0.023544,0.030765,0.023429
78,0.030008,0.034447,0.01387,0.026437,0.034424,0.026352
79,0.03358,0.038586,0.015675,0.029768,0.038573,0.02972
80,0.037591,0.043316,0.017736,0.033623,0.043316,0.033623
81,0.039501,0.048449,0.0195,0.037852,0.048449,0.037852
82,0.043105,0.054292,0.022881,0.042662,0.054292,0.042662
83,0.048463,0.06095,0.027939,0.048204,0.06095,0.048204
84,0.055612,0.068541,0.034693,0.054517,0.068541,0.054517
85,0.064599,0.077116,0.043183,0.061669,0.077116,0.061669
86,0.075538,0.086868,0.053455,0.069776,0.086868,0.069776
87,0.088387,0.097823,0.065541,0.078909,0.097823,0.078909
88,0.10323,0.110093,0.079481,0.089101,0.110093,0.089101
89,0.120037,0.123727,0.095272,0.100387,0.123727,0.100387
90,0.138867,0.138867,0.11295,0.11295,0.138867,0.11295
91,0.154865,0.154865,0.126557,0.126557,0.154865,0.126557
92,0.17135,0.17135,0.140982,0.140982,0.17135,0.140982
93,0.187876,0.187876,0.15609,0.15609,0.187876,0.15609
94,0.204431,0.204431,0.17175,0.17175,0.204431,0.17175
95,0.220714,0.220714,0.187912,0.187912,0.220714,0.187912
96,0.239277,0.239277,0.205461,0.205461,0.239277,0.205461
97,0.258199,0.258199,0.22379,0.22379,0.258199,0.22379
98,0.277883,0.277883,0.242864,0.242864,0.277883,0.242864
99,0.298113,0.298113,0.262598,0.262598,0.298113,0.262598
100,0.318689,0.318689,0.282807,0.282807,0.318689,0.282807
101,0.339457,0.339457,0.303388,0.303388,0.339457,0.303388
102,0.36008,0.36008,0.324029,0.324029,0.36008,0.324029
103,0.380363,0.380363,0.344643,0.344643,0.380363,0.344643
104,0.399976,0.399976,0.36483,0.36483,0.399976,0.36483
105,0.418469,0.418469,0.38468,0.38468,0.418469,0.38468
106,0.436337,0.436337,0.404077,0.404077,0.436337,0.404077
107,0.453187,0.453187,0.422297,0.422297,0.453187,0.422297
108,0.469111,0.469111,0.439597,0.439597,0.469111,0.439597
109,0.483871,0.483871,0.455886,0.455886,0.483871,0.455886
110,0.497769,0.497769,0.471033,0.471033,0.497769,0.471033
111,0.502821,0.502821,0.485228,0.485228,0.502821,0.485228
112,0.502061,0.502061,0.498255,0.498255,0.502061,0.498255
