2019
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.000097,0.000097,0.000066,0.000066,0.000097,0.000066
16,0.000114,0.000114,0.000071,0.000071,0.000114,0.000071
17,0.000132,0.000132,0.000076,0.000076,0.000132,0.000076
18,0.000151,0.000151,0.00008,0.00008,0.000151,0.00008
19,0.000171,0.000171,0.000084,0.000084,0.000171,0.000084
20,0.00019,0.00019,0.000084,0.000084,0.00019,0.000084
21,0.000215,0.000215,0.000087,0.000087,0.000215,0.000087
22,0.00024,0.00024,0.000089,0.000089,0.00024,0.000089
23,0.000257,0.000257,0.000093,0.000093,0.000257,0.000093
24,0.000269,0.000269,0.000096,0.000096,0.000269,0.000096
25,0.00026,0.00026,0.0001,0.0001,0.00026,0.0001
26,0.000256,0.000256,0.000104,0.000104,0.000256,0.000104
27,0.000256,0.000256,0.000109,0.000109,0.000256,0.000109
28,0.000261,0.000261,0.000115,0.000115,0.000261,0.000115
29,0.000271,0.000271,0.000122,0.000122,0.000271,0.000122
30,0.000284,0.000284,0.000132,0.000132,0.000284,0.000132
31,0.0003,0.0003,0.000144,0.000144,0.0003,0.000144
32,0.000317,0.000317,0.000156,0.000156,0.000317,0.000156
33,0.000336,0.000336,0.00017,0.00017,0.000336,0.00017
34,0.000352,0.000352,0.000185,0.000185,0.000352,0.000185
35,0.000368,0.000368,0.0002,0.0002,0.000368,0.0002
36,0.000382,0.000382,0.000214,0.000214,0.000382,0.000214
37,0.000396,0.000396,0.000232,0.000232,0.000396,0.000232
38,0.000413,0.000413,0.00025,0.00025,0.000413,0.00025
39,0.000433,0.000433,0.000271,0.000271,0.000433,0.000271
40,0.000457,0.000457,0.000294,0.000294,0.000457,0.000294
41,0.000485,0.000491,0.000318,0.000316,0.000485,0.000318
42,0.00052,0.000566,0.000346,0.000366,0.00052,0.000346
43,0.000565,0.000683,0.000378,0.000443,0.000567,0.000378
44,0.000618,0.000841,0.000415,0.000547,0.000622,0.000415
45,0.000682,0.001043,0.000456,0.00068,0.00069,0.000458
46,0.000757,0.001289,0.000504,0.000846,0.000771,0.00051
47,0.000843,0.001585,0.000558,0.001047,0.000867,0.00057
48,0.00094,0.001936,0.000617,0.001287,0.000976,0.000639
49,0.00105,0.002348,0.000682,0.001569,0.001103,0.000719
50,0.001173,0.002827,0.000756,0.001898,0.001248,0.000813
51,0.00131,0.003069,0.000837,0.002016,0.001398,0.000906
52,0.001465,0.00333,0.000929,0.00216,0.001593,0.001021
53,0.001629,0.003587,0.001032,0.00233,0.001816,0.001155
54,0.001812,0.003859,0.001148,0.002529,0.002076,0.001312
55,0.002018,0.004151,0.001274,0.002758,0.002459,0.001556
56,0.002258,0.004472,0.001412,0.003018,0.002961,0.001871
57,0.002539,0.004828,0.00156,0.00331,0.003404,0.002156
58,0.002871,0.005224,0.001718,0.003633,0.003907,0.002461
59,0.00326,0.005665,0.001885,0.003992,0.004459,0.002804
60,0.003715,0.006157,0.002061,0.004382,0.005091,0.003211
61,0.004238,0.0067,0.00225,0.004807,0.005798,0.003734
62,0.004836,0.007298,0.002452,0.00527,0.006585,0.004311
63,0.005513,0.007956,0.002671,0.005769,0.007443,0.005001
64,0.006267,0.008673,0.002909,0.00631,0.008277,0.005644
65,0.007108,0.009458,0.003171,0.006904,0.009184,0.006363
66,0.007948,0.010323,0.003526,0.007562,0.010162,0.007206
67,0.00887,0.011277,0.003924,0.008298,0.011159,0.008021
68,0.009892,0.012341,0.00437,0.009123,0.012253,0.008896
69,0.011025,0.013534,0.004874,0.010052,0.013462,0.009859
70,0.012289,0.014875,0.005441,0.011098,0.014808,0.010906
71,0.013703,0.016385,0.006083,0.012277,0.016322,0.012088
72,0.015289,0.018089,0.00681,0.013609,0.018031,0.013425
73,0.017063,0.020008,0.007637,0.015116,0.019954,0.014939
74,0.019059,0.022182,0.00857,0.016809,0.022133,0.016642
75,0.021299,0.02464,0.009636,0.018736,0.024597,0.018581
76,0.023809,0.027425,0.01085,0.020932,0.027387,0.020795
77,0.026632,0.030598,0.012238,0.023449,0.030567,0.023335
78,0.029797,0.034205,0.013816,0.026334,0.034182,0.026249
79,0.033337,0.038308,0.015613,0.02965,0.038295,0.029602
80,0.037328,0.043013,0.017661,0.033482,0.043013,0.033482
81,0.039221,0.048107,0.019407,0.037671,0.048107,0.037671
82,0.042793,0.053899,0.022779,0.042472,0.053899,0.042472
83,0.048109,0.060505,0.027801,0.047965,0.060505,0.047965
84,0.055203,0.068037,0.034499,0.054212,0.068037,0.054212
85,0.064088,0.076506,0.042936,0.061316,0.076506,0.061316
86,0.07492,0.086158,0.053154,0.069382,0.086158,0.069382
87,0.087644,0.097001,0.065156,0.078446,0.097001,0.078446
88,0.102308,0.10911,0.078988,0.088548,0.10911,0.088548
89,0.118962,0.122618,0.094649,0.099731,0.122618,0.099731
