2009
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.00017,0.00017,0.000115,0.000115,0.00017,0.000115
16,0.000179,0.000179,0.000123,0.000123,0.000179,0.000123
17,0.00019,0.00019,0.000131,0.000131,0.00019,0.000131
18,0.000199,0.000199,0.000134,0.000134,0.000199,0.000134
19,0.000209,0.000209,0.000132,0.000132,0.000209,0.000132
20,0.000218,0.000218,0.00013,0.00013,0.000218,0.00013
21,0.000231,0.000231,0.000127,0.000127,0.000231,0.000127
22,0.000243,0.000243,0.000129,0.000129,0.000243,0.000129
23,0.00026,0.00026,0.000134,0.000134,0.00026,0.000134
24,0.000275,0.000275,0.00014,0.00014,0.000275,0.00014
25,0.000295,0.000295,0.000148,0.000148,0.000295,0.000148
26,0.000327,0.000327,0.00016,0.00016,0.000327,0.00016
27,0.000339,0.000339,0.000167,0.000167,0.000339,0.000167
28,0.000348,0.000348,0.000176,0.000176,0.000348,0.000176
29,0.000365,0.000365,0.000186,0.000186,0.000365,0.000186
30,0.000394,0.000394,0.000207,0.000207,0.000394,0.000207
31,0.000442,0.000442,0.000253,0.000253,0.000442,0.000253
32,0.000498,0.000498,0.000289,0.000289,0.000498,0.000289
33,0.000559,0.000559,0.000317,0.000317,0.000559,0.000317
34,0.000622,0.000622,0.000342,0.000342,0.000622,0.000342
35,0.000685,0.000685,0.000364,0.000364,0.000685,0.000364
36,0.000746,0.000746,0.000385,0.000385,0.000746,0.000385
37,0.000802,0.000802,0.000405,0.000405,0.000802,0.000405
38,0.000834,0.000834,0.000426,0.000426,0.000834,0.000426
39,0.000863,0.000863,0.000451,0.000451,0.000863,0.000451
40,0.00089,0.00089,0.000491,0.000491,0.00089,0.000491
41,0.000919,0.000947,0.000539,0.000539,0.000919,0.000539
42,0.000955,0.00106,0.000593,0.000593,0.000956,0.000593
43,0.000996,0.00123,0.000652,0.000652,0.000999,0.000652
44,0.001046,0.001456,0.000716,0.000716,0.001053,0.000716
45,0.001102,0.001739,0.000763,0.000767,0.001116,0.000763
46,0.001152,0.002078,0.00081,0.000869,0.001177,0.000811
47,0.001206,0.002474,0.000857,0.001021,0.001246,0.000861
48,0.001263,0.002926,0.000927,0.001224,0.001323,0.000937
49,0.001322,0.003435,0.001002,0.001478,0.001408,0.001022
50,0.001383,0.003998,0.001111,0.001782,0.001501,0.001145
51,0.001444,0.004067,0.001232,0.0019,0.001575,0.001271
52,0.001507,0.004085,0.001402,0.002112,0.001684,0.001455
53,0.001614,0.004142,0.001598,0.002386,0.001855,0.001673
54,0.001732,0.004196,0.001824,0.002716,0.002049,0.00193
55,0.001911,0.004344,0.002083,0.003105,0.002414,0.002277
56,0.002138,0.00458,0.002385,0.003565,0.002913,0.002722
57,0.002404,0.004898,0.002669,0.004047,0.003347,0.003138
58,0.002714,0.005327,0.002918,0.004542,0.003864,0.003548
59,0.002997,0.005782,0.003191,0.005105,0.004386,0.004026
60,0.003312,0.006332,0.003485,0.005722,0.005013,0.004593
61,0.003745,0.007068,0.003799,0.006386,0.005851,0.005301
62,0.004118,0.007785,0.004128,0.007096,0.006723,0.006086
63,0.004614,0.008739,0.004468,0.007853,0.007874,0.007014
64,0.00501,0.00967,0.004814,0.008671,0.008903,0.007916
65,0.005399,0.010709,0.005161,0.009565,0.010089,0.008927
66,0.005916,0.012059,0.005503,0.010533,0.011642,0.010089
67,0.006281,0.013351,0.005837,0.011574,0.013005,0.011211
68,0.006466,0.014525,0.006158,0.01271,0.014234,0.012397
69,0.00678,0.016045,0.006463,0.013985,0.01578,0.013704
70,0.006903,0.017436,0.00675,0.015452,0.017162,0.015157
71,0.007774,0.019292,0.007373,0.016873,0.019022,0.016583
72,0.009516,0.021421,0.008619,0.018768,0.021173,0.018493
73,0.012129,0.02386,0.010487,0.020528,0.023646,0.02029
