2018
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.000087,0.000087,0.000059,0.000059,0.000087,0.000059
16,0.000102,0.000102,0.000064,0.000064,0.000102,0.000064
17,0.000118,0.000118,0.000068,0.000068,0.000118,0.000068
18,0.000135,0.000135,0.000072,0.000072,0.000135,0.000072
19,0.000153,0.000153,0.000075,0.000075,0.000153,0.000075
20,0.00017,0.00017,0.000076,0.000076,0.00017,0.000076
21,0.000192,0.000192,0.000078,0.000078,0.000192,0.000078
22,0.000214,0.000214,0.00008,0.00008,0.000214,0.00008
23,0.000229,0.000229,0.000084,0.000084,0.000229,0.000084
24,0.000238,0.000238,0.000087,0.000087,0.000238,0.000087
25,0.00023,0.00023,0.00009,0.00009,0.00023,0.00009
26,0.000226,0.000226,0.000094,0.000094,0.000226,0.000094
27,0.000226,0.000226,0.000099,0.000099,0.000226,0.000099
28,0.00023,0.00023,0.000105,0.000105,0.00023,0.000105
29,0.000238,0.000238,0.000111,0.000111,0.000238,0.000111
30,0.000249,0.000249,0.00012,0.00012,0.000249,0.00012
31,0.000263,0.000263,0.00013,0.00013,0.000263,0.00013
32,0.000278,0.000278,0.000142,0.000142,0.000278,0.000142
33,0.000294,0.000294,0.000155,0.000155,0.000294,0.000155
34,0.000309,0.000309,0.000168,0.000168,0.000309,0.000168
35,0.000323,0.000323,0.000182,0.000182,0.000323,0.000182
36,0.000336,0.000336,0.000196,0.000196,0.000336,0.000196
37,0.00035,0.00035,0.000213,0.000213,0.00035,0.000213
38,0.000366,0.000366,0.000231,0.000231,0.000366,0.000231
39,0.000385,0.000385,0.000251,0.000251,0.000385,0.000251
40,0.00041,0.00041,0.000273,0.000273,0.00041,0.000273
41,0.000438,0.000443,0.000298,0.000296,0.000438,0.000298
42,0.000474,0.000516,0.000326,0.000344,0.000474,0.000326
43,0.000518,0.000627,0.000358,0.000419,0.000519,0.000358
44,0.000573,0.000779,0.000395,0.00052,0.000577,0.000395
45,0.000636,0.000973,0.000436,0.000651,0.000644,0.000438
46,0.000712,0.001213,0.000484,0.000813,0.000726,0.000489
47,0.000798,0.001502,0.000538,0.00101,0.00082,0.00055
48,0.000896,0.001844,0.000597,0.001245,0.00093,0.000619
49,0.001005,0.002248,0.000661,0.001522,0.001056,0.000697
50,0.001128,0.002719,0.000734,0.001844,0.0012,0.00079
51,0.001265,0.002963,0.000814,0.001961,0.00135,0.000881
52,0.001418,0.003224,0.000903,0.002099,0.001542,0.000992
53,0.00158,0.003481,0.001003,0.002263,0.001761,0.001122
54,0.001761,0.003751,0.001114,0.002454,0.002017,0.001273
55,0.001964,0.00404,0.001235,0.002673,0.002393,0.001508
56,0.0022,0.004357,0.001367,0.002921,0.002884,0.001811
57,0.002474,0.004704,0.001509,0.0032,0.003317,0.002084
58,0.002796,0.005088,0.001661,0.003512,0.003805,0.002379
59,0.003174,0.005515,0.001823,0.00386,0.004341,0.002711
60,0.003613,0.005989,0.001994,0.004238,0.004951,0.003106
61,0.004122,0.006516,0.002181,0.004659,0.005639,0.003619
62,0.004705,0.0071,0.002381,0.005119,0.006406,0.004188
63,0.005364,0.007742,0.0026,0.005616,0.007243,0.004868
64,0.006111,0.008457,0.002842,0.006165,0.008071,0.005515
65,0.00694,0.009234,0.003107,0.006766,0.008966,0.006236
66,0.007779,0.010103,0.003465,0.00743,0.009945,0.00708
67,0.008697,0.011056,0.003863,0.00817,0.01094,0.007897
68,0.009709,0.012114,0.004308,0.008993,0.012027,0.00877
69,0.010836,0.013302,0.004806,0.009912,0.013231,0.009722
70,0.012093,0.014637,0.005366,0.010945,0.014571,0.010756
71,0.013486,0.016126,0.006001,0.012111,0.016064,0.011925
72,0.015044,0.017799,0.006711,0.013412,0.017742,0.01323
73,0.016794,0.019693,0.007521,0.014886,0.01964,0.014711
74,0.018751,0.021823,0.008439,0.016552,0.021775,0.016387
75,0.02095,0.024237,0.009485,0.018443,0.024194,0.018291
76,0.023428,0.026986,0.010678,0.0206,0.026949,0.020465
77,0.026183,0.030081,0.012035,0.023061,0.030051,0.022949
78,0.029308,0.033645,0.013582,0.025888,0.033622,0.025804
79,0.032774,0.037661,0.015347,0.029144,0.037648,0.029097
80,0.036705,0.042295,0.017347,0.032886,0.042295,0.032886
81,0.038556,0.047291,0.019058,0.036992,0.047291,0.036992
82,0.042087,0.053009,0.022345,0.041662,0.053009,0.041662
83,0.047283,0.059466,0.027251,0.047017,0.059466,0.047017
84,0.054248,0.06686,0.033811,0.05313,0.06686,0.05313
85,0.06299,0.075196,0.042053,0.060056,0.075196,0.060056
86,0.073605,0.084646,0.052009,0.067888,0.084646,0.067888
87,0.086115,0.095308,0.063725,0.076724,0.095308,0.076724
88,0.100513,0.107196,0.077205,0.086549,0.107196,0.086549
89,0.11684,0.120431,0.092462,0.097426,0.120431,0.097426
90,0.135087,0.135087,0.109484,0.109484,0.135087,0.109484
91,0.15061,0.15061,0.122541,0.122541,0.15061,0.122541
92,0.166534,0.166534,0.136397,0.136397,0.166534,0.136397
93,0.182546,0.182546,0.150811,0.150811,0.182546,0.150811
94,0.198598,0.198598,0.165818,0.165818,0.198598,0.165818
95,0.214442,0.214442,0.18136,0.18136,0.214442,0.18136
96,0.232944,0.232944,0.198746,0.198746,0.232944,0.198746
97,0.251903,0.251903,0.21693,0.21693,0.251903,0.21693
98,0.271612,0.271612,0.235921,0.235921,0.271612,0.235921
99,0.291889,0.291889,0.255617,0.255617,0.291889,0.255617
100,0.31268,0.31268,0.275938,0.275938,0.31268,0.275938
101,0.33372,0.33372,0.296628,0.296628,0.33372,0.296628
102,0.35457,0.35457,0.317471,0.317471,0.35457,0.317471
103,0.375136,0.375136,0.338385,0.338385,0.375136,0.338385
104,0.395172,0.395172,0.358868,0.358868,0.395172,0.358868
105,0.413945,0.413945,0.379183,0.379183,0.413945,0.379183
106,0.432145,0.432145,0.398878,0.398878,0.432145,0.398878
107,0.449197,0.449197,0.417703,0.417703,0.449197,0.417703
